Telugu_sentence,English_sentence,source
ఇవి కాంతిశక్తిని ఉపయోగించి సరళ అకర్బన పదార్థాలను సంక్షిష్ట కర్బన అణువులుగా మారుస్తాయి.,They convert simple inorganic substances into compact organic molecules using light energy.,tides
ఈ విధానాన్ని కిరణజన్యసంయోగక్రియ అంటారు.,This process is called photosynthesis.,tides
ఇది చాలా సంక్షిష్టమైన ప్రక్రియ. ఇందులో అనేక రకాల చర్యలు క్రమపద్ధతిలో జరగటంతో పాటుగా అనేక మధ్యస్థ సమ్మేళనాలు (intermediary compounds) కూడా ఏర్పడుతుంటాయి.,"It is a very short process. In this, many types of actions take place systematically and many intermediate compounds are also formed.",ted
గత 200 సంవత్సరాలుగా శాశ(స్త్రవేత్తలు కిరణజన్య సంయోగక్రియ విధానాన్ని సరళమైన సమీకరణ రూపంలో,"Over the past 200 years, biologists have described the process of photosynthesis as a simple equation",tides
పటం-1: కిరణజన్య సంయోగక్రియ సూచించడానికి ప్రయత్నిస్తున్నారు.,Figure-1: Attempting to describe photosynthesis.,ted
1981వ సంవత్సరంలో సి.బి. వాన్ నైల్ అనే శాస్త్రవేత్త ప్రతిపాదించిన సమీకరణాన్ని ప్రామాణికంగా ఆమోదించి ఇప్పటికీ కూడా ఉపపయోగిస్తున్నాం.,In the year 1981 C.B. The equation proposed by a scientist named Van Niel has been accepted as standard and is still in use.,indic2012
కిరణజన్యసంయోగక్రియలో ఒక కార్బోహైడ్రేట్ అణువు ఏర్పడడంతోపాటుగా ఒక అణువు నీరు మరియు ఒక అణువు ఆక్సిజన్ కూడా ఉత్పన్నమవుతాయని ఆయన అభిప్రాయపడ్డాడు.,He believed that photosynthesis produces one molecule of carbohydrate along with one molecule of water and one molecule of oxygen.,indic2012
"కిరణజన్యసంయోగ క్రియా విధానం చాలా సంక్షిష్టమైనదైనప్పటికీ ప్రస్తుతం మనమందరం సులభమైన, సరళమైన ఈ సమీకరణాన్నే","Although the mechanism of photosynthesis is very complex, we all know this simple, simple equation.",ted
వాడుతున్నాం.,We are using,tides
పోషణ - ఆహార సరఫరా వ్యవస్థ,Nutrition - Food supply system,ted
గ్లూకోజ్ (1.౦) ఏర్పడే విధంగా చూపించాలంటే సమీకరణం ఏ విధంగా ఉండాలి.,What should the equation look like to show how glucose (1.0) is formed?,tides
"ఇందుకోసం సమీకరణాన్ని సమతుల్యం చేసి తిరిగి రాయండి. (రసాయన చర్యలు సమీకరణాలు, కర్బన సమ్మేళనాలు అనే పాఠాలను మీ భౌతిక రసాయన శాస్త్ర పుస్తకంలో పరిశీలించండి. )","Balance and rewrite the equation for this. (Check out the lessons on Chemical Reactions, Equations, and Organic Compounds in your physical chemistry textbook.)",ted
మీకు తెలుసా?,do you know,indic2012
వాన్ నీల్ అనే శాస్త్రవేత్త పర్పుల్ బాక్టీరియాలపై పరిశోధనచేస్తూ కిరణజన్య సంయోగక్రియలో కాంతి పాత్ర గురించి కనుగొన్నాడు.,A scientist named van Niel discovered the role of light in photosynthesis while researching purple bacteria.,tides
అయితే బాక్టీరియాలు H2O కు బదులుగా H2S ను ప్రారంభ పదార్థంగా ఉపయోగిస్తాయి.,But bacteria use H2S as starting material instead of H2O.,ted
ఈ బాక్టీరియాలు జరిపే కిరణజన్యసంయోగ( క్రియలో ఆక్సిజన్ బదులుగా సల్ఫర్ వెలువడడాన్ని ఆయన గుర్తించాడు.,He discovered that sulfur was released instead of oxygen during the photosynthesis process carried out by these bacteria.,tides
తరువాత మొక్కలలో జరిగే కాంతి చర్యను పరిశీలించి పైన తెలిపిన,Then the action of light in plants is examined and mentioned above,tides
సమీకరణాన్ని ప్రతిపాదించాడు.,Proposed the equation.,tides
రాబర్ట్ హిల్ ఈ చర్యలో నీటినుండి ఆక్సిజన్ విడుదలవుతుంది అని,Robert Hill states that oxygen is released from water in this process,tides
నిరూపించిన తర్వాత నీల్ సమీకరణం కింది విధంగా మార్పు చెందింది.,"After proof, Neel's equation is modified as follows.",tides
( శాస్త్రవేత్తలు ఈ సమీకరణంలో ఇంకా మార్పులుకు ప్రయత్నిస్తూనే ఉన్నారు. కానీ మనం ఈ సమీకరణాన్నే ప్రామాణికంగా తీసుకున్నాం),(Scientists are still trying to make changes to this equation. But we have taken this equation as standard),indic2012
మొక్కలు మొదటగా సరళమైన కార్ఫోహైడ్రేట్స్ను తయారుచేసుకుంటాయి.,Plants primarily synthesize simple carbohydrates.,ted
తరువాత స్టార్చ్ వంటి సంక్షిష్టమైన పిండిపదార్థాలను మరియు సెల్యులోజ్ సంశ్లేషిస్తాయి.,Later they synthesize compact carbohydrates like starch and cellulose.,indic2012
"ఇవే కాకుండా మొక్కలు (ప్రొటీన్లు, OBEY మొదలైన పదార్థాలను కూడా తయారుచేసుకోగలుగుతాయి.","Apart from these plants can also make substances (proteins, OBEY etc.",ted
అయితే జంతువులు కార్బోహైడ్రేట్లను సొంతంగా తయారుచేసుకోలేవు.,But animals cannot make their own carbohydrates.,tides
కాబట్టి అవి వాటి కొరకు మొక్కలపైన ఆధారపడాల్సి ఉంటుంది.,So they have to depend on plants for them.,ted
దాదాపుగా సజీవ ప్రపంచానికంతటికీ కిరణజన్యసంయోగక్రియను లిక శక్తి వనరు అని చెప్పగలమా?,Can we say that photosynthesis is a source of physical energy for almost all the living world?,tides
కిరణజన్యసంయోగక్రియ ద్వారా మొక్కలు కార్బో హైడ్రేట్స్ను ఎలా తయారుచేసుకుంటాయో తెలుసుకుందాం.,Let's learn how plants make carbohydrates through photosynthesis.,ted
ఆకులలో పిండిపదార్థం,Starch in leaves,ted
కుండీలో పెరుగుతున్న ఏదైనా మొక్కనుండి ఒక ఆకును తీసుకోండి.,Take a leaf from any potted plant.,indic2012
(మొక్కను ఎంపిక చేసేటప్పుడు మెత్తగా పలుచని ఆకులు కలిగిన మొక్కను ఎంపిక చేసుకుంటే మంచిది).,(When choosing a plant it is better to choose a plant with soft and thin leaves).,indic2012
బొమ్మలో చూపిన విధంగా ప్రయోగానికి కావలసిన పరికరాలను సిద్ధం చేసుకోండి.,Prepare the equipment for the experiment as shown in the figure.,indic2012
పరీక్షనాలికలో మిథైలేటెడ్ స్పిరిట్ను తీసుకొని అందులో ఆకును ఉంచండి.,Take methylated spirit in a test tube and place the leaf in it.,tides
పరీక్షనాళికను నీరు కలిగిన బీకరులో ఉంచి వేడి చేయండి.,Place the test tube in a beaker containing water and heat it.,indic2012
వేడి చేసినపుడు ఆకులోని పత్రహరితం (Chlorophyll) తొలగించబడుతుంది.,Chlorophyll in the leaf is removed when heated.,tides
అందువల్ల ఆకు పాలిపోయినట్లుగా లేత తెలుపు రంగులోకి మారుతుంది.,Hence the leaf turns pale white.,ted
పటం-2(౨): మిథైలేట్ స్పిరిట్లో పత్రాన్ని మరిగించుట పటం-2(బి): అయోడిన్ పరీక్ష,Figure-2(2): Boiling paper in methylated spirit Figure-2(b): Iodine test,tides
అకును వాచ్గ్లాస్ లేదా పెట్రీడిష్లో మడతలు పడకుండా వెడల్పుగా పరచండి.,Place the egg in a watchglass or petri dish wide without creases.,tides
దానిపైన కొన్ని చుక్కలు అయెడిన్ లేదా బెటాడిన్ ద్రావణాన్ని చుక్కలు చుక్కలుగా వేయండి.,Drop a few drops of iodine or betadine solution on it.,ted
పత్రాన్ని పరిశీలించండి.,Check the document.,ted
మీరు ఏమి మార్పులను గమనించారు?,What changes have you noticed?,ted
ఏర్పడిన నీలి నలుపు రంగు పిండిపదార్థపు ఉనికిని తెలియజేస్తుంది.,The blue black color formed indicates the presence of starch.,indic2012
కిరణజన్యనంయోగశ్రియ ద్వారా కాంతిశక్తి రసాయనిక శక్తిగా మార్చుబడుతుందని మీరు భావిస్తున్నారా?,Do you think light energy can be converted into chemical energy by photosynthesis?,tides
కిరణజన్యసంయోగక్రియకు కావలసిన ఆవశ్యక పదార్థాలు,Essential substances for photosynthesis,tides
కిరణజన్యసంయోగక్రియ ద్వారా కార్బోహైడ్రేట్లు ఏర్పడడానికి కావలసిన ముఖ్యమైన,Essential for the formation of carbohydrates through photosynthesis,tides
పదార్థాలు ఏమై ఉంటాయో ఆలోచించండి.,Think about what the ingredients are.,tides
(వాన్నైల్ ప్రతిపాదించిన సమీకరణాన్ని చూడండి).,(See the equation proposed by Vannille).,ted
కిరణజన్యసంయోగక్రియకు కావల్సిన పదార్థాలన్నీ సమీకరణంలో ఇమిడి ఉన్నాయని,All the ingredients needed for photosynthesis are included in the equation,tides
చెప్పగలమా?,Can you say,indic2012
దాదాపు 800 సంవత్సరాలుగా శాస్త్రవేత్తలు చేసిన కృషి ఫలితంగా కిరణజన్యసంయోగక్రియ నిర్వహణకు కావలిసిన కొన్ని పదార్థాల గురించి మాత్రమే తెలుసుకోగలిగాం.,"As a result of nearly 800 years of scientific effort, we have come to know only a few of the substances required to carry out photosynthesis.",indic2012
ఈ చర్యలో పాలుపంచుకొనే మనకు తెలియని పదార్థాలు ఇంకా చాలా ఉంటాయని శాస్త్రవేత్తల అభిప్రాయం.,Scientists believe that there are many unknown substances involved in this process.,ted
కిరణజన్యసంయోగక్రియ నిర్వహణకు కావలసిన పదార్థాల గురించి శాస్త్రవేత్తలు ఎలా,How do scientists know about the materials needed to carry out photosynthesis?,ted
తెలుసుకోగలిగారో పరిశీలిద్దాం.,Let's see if we can find out.,tides
నీరు మరియు కిరణజన్యసంయోగక్రీయ,Water and photosynthesis,ted
మొక్క బరువు పెరగటంలో నీరు ప్రధాన పాత్రవహిస్తుందని వాన్ హెల్మాంట్ చేసిన పరిశోధనల గురించి మీరు 7వ తరగతిలో చదివారు కదా!,Did you read in 7th grade about Van Helmont's research that water plays a major role in plant weight gain?,indic2012
ఆ కాలంనాటికి వాన్హెల్మెంట్కు కిరణజన్యసంయోగక్రియ గురించి తెలియదు.,At that time VanHelment did not know about photosynthesis.,tides
తరువాత జరిగిన అనేక పరిశోధనలు కిరణజన్యసంయోగక్రియ ద్వారా మొక్క బరువు పెరుగుతుందనే విషయాన్ని తెలియజేశాయి.,A number of subsequent studies have shown that plant weight increases through photosynthesis.,ted
7వ తరగతిలోని 'మొక్కలలో పోషణ” అనే పాఠాన్ని మరొకసారి చదవండి.,Re-read the lesson 'Nutrition in Plants' in Class 7.,tides
మొక్క బరువు పెరుగుదలలో నీటి ప్రాధాన్యత గురించి వాన్ హెల్మాంట్ తన ప్రయోగం ద్వారా ఎలా,How Van Helmont through his experiment about the importance of water in plant weight growth,tides
పోషణ - ఆహార సరఫరా వ్యవస్థ,Nutrition - Food supply system,indic2012
నిర్దారణకు వచ్చాడో తెలుపుతూ నివేదిక రాయండి.,Write a report stating that the determination has been made.,tides
మీ తరగతిలో చర్చించండి.,Discuss in your class.,tides
గాలి మరియు కిరణజన్య సంయోగక్రియ,Wind and photosynthesis,ted
కిరణజన్యసంయోగక్రియకు సంబంధించి చిన్న (ప్రయోగాన్ని చేద్దాం. దీని ద్వారా కిరణజన్య సంయోగక్రియలో గాలి ఎలాంటి పాత్రను పోషిస్తుందో తెలుసుకోవచ్చు.,Let's do a small experiment related to photosynthesis. Through this we will know what role air plays in photosynthesis.,indic2012
కిరణజన్యసంయోగక్రియను అవగాహన చేసుకునే క్రమంలో నిర్వహించబడిన అనేక ప్రయోగాలలో ప్రస్తుతం మనం చేయబోయే ప్రయోగం ఆసక్తిని రేకెత్తించేదే కాకుండా ఒక,"Among the many experiments that have been carried out to understand photosynthesis, the experiment we are going to do is not only interesting but also one of them.",indic2012
మైలురాయి వంటిదని కూడా చెప్పవచ్చు.,It can also be said as a milestone.,indic2012
ఆకుపచ్చని మొక్కల పెరుగుదలలో గాలి ప్రధాన పాత్ర వహిస్తుందని జోసఫ్ BY (1733-1804) 1770వ సంవత్సరంలో నిర్వహించిన ప్రయోగాల పరంపర ద్వారా తెలిసింది.,A series of experiments conducted by Joseph BY (1733-1804) in 1770 showed that air plays a major role in the growth of green plants.,ted
ఆనాటికి శాస్త్రవేత్తలకు కిరణజన్య సంయోగక్రియ గురించి అంతంగా తెలియదు.,"At that time, scientists did not know much about photosynthesis.",ted
1774వ సంవత్సరంలో జోసఫ్ ప్రీస్టే ఆక్సిజన్ కనుగొన్న విషయాన్ని జ్ఞప్తికి తెచ్చుకోండి.,Recall Joseph Prieste's discovery of oxygen in 1774.,tides
1775 సంవత్సరంలో లెైవోయిజర్ ఆ వాయువుకు ఆక్సిజన్ అని నామకరణం చేశాడు.,"In the year 1775, Lewesser named the gas oxygen.",ted
గాలి చొరబడని గంటజాడిలో వెలుగుతున్న కొవ్వత్తి త్వరగా ఆరిపోవడాన్ని ట్రీస్టే గమనించాడు.,Trieste noticed that the candle burning in the airtight bell was quickly extinguished.,tides
అడేవిధంగా గాలిచొరబడని గంటజాడీలో ఉంచిన ఎలుకకు ఊపిరాడకపోవడం కూడా గమనించాడు.,He also observed that a rat kept in an airtight bell jar did not suffocate.,indic2012
"ఈ పరిశీలన ద్వారా వెలిగే కొవ్వత్తి, ఎలుక రెండూ కూడా ఏదోవిధంగా గంటజాడీలోని గాలికి నష్టం కలిగించినట్లు నిర్ధారణకు వచ్చాడు. ",Through this observation he came to the conclusion that both the burning candle and the rat somehow damaged the air in the bell jar.,indic2012
కాని గంటజాడీలో ఒక పుదీనా మొక్కను ఉంచి పరిశీలించినప్పుడు ఎలుక ప్రాణంతో ఉండడాన్నీ కొవ్వొత్తి వెలుగుతూ ఉండడాన్నీ గమనించాడు.,"But when he placed a mint plant in the bell jar and examined it, he noticed that the mouse was still alive and the candle was burning.",ted
జంతువుల శ్వాసక్రియకూ కొవ్వొత్తి వెలుగడానికీ ఖర్చు అవుతున్న,Costs are spent on breathing animals and lighting candles,tides
గాలిని మొక్కలు గాలిలోకి పంపుతుంటాయని ఈ ప్రయోగం ద్వారా,"Through this experiment, air is pumped into the air by the plants",tides
జోసఫ్ ప్రీస్టే ఊహించాడు.,Joseph Prieste speculated.,indic2012
ప్రయోగ అమరికను కదపకుండా పుదీనా మొక్కను గంటజాడీలో ప్రవేశపెట్టడానికి,To introduce the mint plant into the bell jar without moving the experiment setup,tides
జోసఫ్ BF ఏం చేసి ఉంటాడు?,What would Joseph BF have done?,indic2012
"కొవ్వొత్తికి, ఎలుకకు, పుదీనా మొక్కకు మధ్య మీరు ఏమైనా సంబంధాన్ని గుర్తించారా? ఏమిటి?","Do you see any connection between the candle, the mouse and the mint plant? what",indic2012
"జోసఫ్ ప్రీస్టే తాను నిర్వహించిన ప్రయోగాల ద్వారా వాయు వినిమయం జరగడం వలన మొక్కలు వదిలే వాయువు కొవ్వొత్తి వెలగడానికి, జంతువుల మనుగడకు దోహదం చేస్తుందని నిర్ధారణకు వచ్చాడు.","Through his experiments, Joseph Prieste came to the conclusion that the gas released by plants contributes to the lighting of candles and the survival of animals due to the exchange of air.",indic2012
"అయితే మొక్కలు గాలిలోని కార్బన్డైఆక్సైడ్ను కిరణజన్య సంయోగక్రియకు, ఆక్సిజన్ను శ్వాసక్రియకు ఎలా పయోగించుకుంటాయి” వీటిని ఎలా ఎంపిక చేసుకుంటాయి? ",But how do plants choose to use carbon dioxide in the air for photosynthesis and oxygen for respiration?,tides
"మొక్కలలో అధిక మొత్తంలో వాయువుల వినియమం ఆకులలోని పత్రరం(్రాల ద్వారా, అవి తెరుచుకుని ఉన్నంతసేపూ జరుగుతూనే ఉంటుంది. అంతేకాకుండా కాండం, వేర్లలో ఉండే స్పంజి కణజాలం ద్వారా కూడా వాయు వినిమయం జరుగుతుంటుంది.","A large amount of gas exchange in plants takes place through the leaflets in the leaves, as long as they are open, and also through the spongy tissue in the stems and roots.",ted
"కిరణజన్యసంయోగక్రియలోగానీ శ్వాసక్రియలోగానీ జరిగే వాయువుల ఎంపిక, వాయు వినిమయం ఆ ప్రక్రియను నిర్వహించే కణాంగాల స్థాయిలోనే జరుగుతుంది.",Selection of gases and gas exchange in photosynthesis and respiration takes place at the level of the cells that carry out the process.,tides
కిరణజన్యసంయోగక్రియలో కార్బన్డైఆక్సైడ్ ఆవశ్యకత,Requirement of carbon dioxide in photosynthesis,ted
ఈ ప్రయోగ నిర్వహణకు పిండిపదార్థం తొలగించబడిన మొక్క అవసరమవుతుంది.,A starch-removed plant is required to conduct this experiment.,tides
పిండిపదార్థాన్ని తొలగించడానికి మొక్కను కనీసం ఒక వారం రోజులపాటు చీకటిలో ఉంచాలి.,The plant should be kept in the dark for at least a week to remove the starch.,indic2012
చీకటిలో ఉంచడం వల్ల ఆకులలోని పిండిపదార్థం తొలగించబడతుంది.,Keeping it in the dark removes the starch from the leaves.,tides
కింది బొమ్మలో చూపిన విధంగా పరికరాలను సిద్ధం చేసుకోండి.,Prepare the equipment as shown in the figure below.,tides
(పోటాషియం నీలినల్ల రంగు హైడ్రాక్సెడ్),(Potassium Blue Hydroxed),tides
ST ఏర్పడని భాగం &,Non-ST segment &,ted
పటం-4: మోల్స్ అర్హపత్ర ప్రయోగం,Figure-4: Moles Arhaptra experiment,tides
ఒక వెడల్పుమాతిగల గాజు సీసాను తీసుకోండి.,Take a wide mouthed glass bottle.,indic2012
అందులో పొటాషియం హైడ్రాక్సైడ్ బిళ్ళలు కాని పొటాషియం హైడ్రాక్సైడ్ (ద్రావణాన్ని తీసుకోండి.,Take potassium hydroxide (solution) which contains potassium hydroxide but not potassium hydroxide.,ted
పొటాషియం TERED కార్బన్డైఆక్సైడ్ను పీల్చే గుణముంటుంది.,Potassium TERED has the ability to absorb carbon dioxide.,ted
ఒక నిలువుగా చీల్చబడిన బెండుబిరడాను తీసుకుని గాజుసీసా మూతికి బిగించండి.,Take a vertically split betel nut and fasten it to the mouth of a glass bottle.,ted
మొక్కలో ఎంపిక చేసుకున్న ఆకును బిరడా చీలికగుండా సగభాగం సీసాలోపలికీ సగభాగం సీసా వెలుపలికీ ఉండే విధంగా అమర్చండి.,Place the selected leaf on the plant through the slit so that half is inside the bottle and half is outside the bottle.,indic2012
సీసాతోసహా ప్రయోగ అమరికను సూర్యరశ్మిలో ఉంచండి.,Place the experimental setup with the vial in sunlight.,indic2012
"కొన్ని గంటల తరువాత సీసాలో అమర్చిన ఆకును, మొక్కలో ఎదైనా మరొక ఆకును తీసుకొని కృత్యం-1లో చేసినట్టుగా అయోడిన్ (్రావణంతో పరీక్షించండి.",After a few hours take the bottled leaf and any other leaf of the plant and test it with iodine (solution) as done in task-1.,ted
గాలి వెలుతురు సోకుతున్న ఆకును అయోడిన్ పరీక్ష నిర్వహించినప్పుడు నీలి-నలుపు రంగులోకి మారడాన్ని గమనించారు కదా!.,"When the iodine test was conducted on the leaf infected with air light, it was noticed that it turned blue-black!",ted
సీసాలోపల ఉన్న పొటాషియం హైడ్రాక్సైడ్ సీసాలో ఉన్న గాలిలోని కార్బన్డైఆక్సైడ్ను పీల్చివేసింది.,The potassium hydroxide inside the bottle absorbed the carbon dioxide in the air in the bottle.,tides
కిరణజన్య సంయోగక్రియ జరగలేదు కాబట్టి సీసాలోపల ఉన్న ఆకు మాత్రం నీలి-నలుపు రంగులోకి మారలేదు.,The leaf inside the bottle did not turn blue-black because photosynthesis did not take place.,tides
దీనిని బట్టి కిరణజన్య సంయోగక్రియకు కార్బన్డైఆక్సైడ్ అవసరమని తెలుస్తుంది.,From this it is known that carbon dioxide is required for photosynthesis.,tides
(Gs) 10వ తరగతి పోషణ - ఆహార సరఫరా వ్యవస్థ,(Gs) Class 10 Nutrition - Food Supply System,indic2012
మొక్కను మొదట చీకటిలో ఉంచి తరువాత వెలుతురులో ఉంచడానికి కారణం ఏమిటి?,What is the reason for placing the plant first in the dark and then in the light?,tides
ఈ ప్రయోగంలో రెండు ఆకులను ఎందుకు వరిక్షించాలి?,Why examine two leaves in this experiment?,tides
"ఇంతవరకు మనం కిరణజన్యసంయోగ క్రియకు కార్బన్డైఆక్సెడ్, నీరు అవసరమని తెలుసుకున్నాం. ",So far we know that photosynthesis requires carbon dioxide and water.,indic2012
ఇవే కాకుండా ఇంకా అనేక ఇతర కారకాలు కూడా ప్రభావం చూపవచ్చని శాస్త్రవేత్తలు భావించారు.,"Apart from these, scientists believe that many other factors can also have an effect.",indic2012
కాంతి మరియు కిరణజన్యసంయోగక్రియ,Light and photosynthesis,ted
జోసఫ్ ప్రీస్టే కాలం నాటికి శాస్త్రవేత్తలకు “శక్తి” గురించి అంతగా అవగాహన ఉండేది,"By the time of Joseph Priest, scientists had little understanding of ""energy"".",tides
కాదు. కాని తరవాత కాలంలో శక్తిపై అనేక రకాల పరిశోధనలు జరిగాయి.,No. But in the later period many kinds of researches were done on Shakti.,tides
ఆక్సిజన్ పరమాణువు కార్బన్ లేదా హైడ్రోజన్ పరమాణువులతో సంయోగం చెందడం వలన కార్బన్డైఆక్సైడ్ లేదా నీరు ఏర్పడినప్పుడు శక్తి విడుదలవుతుంది.,Energy is released when oxygen atoms combine with carbon or hydrogen atoms to form carbon dioxide or water.,indic2012
కాని ఈ చర్య వ్యతిరేక దిశలో జరిగినపుడు ఏమి జరుగుతుంది? ఏర్పడిన ఆక్సిజన్ తిరిగి గాలిలో కలిసినప్పుడు ఏమవుతుంది?,But what happens when this action goes in the opposite direction? What happens when the oxygen formed is mixed back into the air?,indic2012
దీని ఆధారంగా శక్తి విషయంలో కూడా వ్యతిరేక దిశలో చర్యలు జరిగితే,"Based on this, even in the case of energy, if actions are taken in the opposite direction",tides
ఏమౌతుందో కూడా శాస్త్రవేత్తలు విశ్లేషించారు.,Scientists have also analyzed what happens.,ted
ఆక్సిజన్ ఏర్పడినప్పుడు విడుదలైన శక్తి తిరిగి వినియోగించబడతుందని శాస్త్రవేత్తలు తెలుసుకోగలిగారు.,Scientists have learned that the energy released when oxygen is formed is reused.,indic2012
దీని అర్థం ఏమిటంటే మొక్కలు ఆక్సిజన్ను ఉత్పత్తి చేస్తున్నప్పుడు అవి శక్తిని గ్రహంచగలగాలి.,This means that plants must be able to absorb energy as they produce oxygen.,tides
అసలు ఈ శక్తి ఎక్కడి నుండి వస్తుంది?,Where does this energy actually come from?,indic2012
